Detector;Time;qPKW;vPKW
10236V72161_3;600;62;40
17961V72812_2;600;299;40
06970V72811_6;600;375;40
04300V72813_3;600;129;40
21571V2394246_1;600;237;40
73951V2394243_1;600;429;40
36935V72359_1;600;211;40
17961V72812_4;600;99;40
44656V72812_2;600;566;40
21571V2394246_3;600;492;40
27372V72852_1;600;225;40
88356V72157_1;600;75;40
20570V72811_1;600;369;40
81077V72158_3;600;206;40
78492V2394249_2;600;190;40
21801V72158_1;600;306;40
44656V72812_3;600;64;40
63028V72219_1;600;116;40
03476V41818_1;600;174;40
10236V72161_4;600;38;40
78492V2394249_4;600;486;40
81077V72158_4;600;159;40
77022V72359_1;600;315;40
16219V72812_1;600;439;40
21801V72158_2;600;206;40
73951V2394243_3;600;652;40
17961V72812_1;600;64;40
81008V41567_1;600;133;40
06750V2429605_3;600;129;40
27372V72852_2;600;251;40
88356V72157_2;600;16;40
16219V72812_2;600;519;40
75341V41863_1;600;255;40
36935V72359_2;600;135;40
77022V72359_2;600;322;40
78492V2394249_3;600;355;40
04300V72813_1;600;157;40
35002V72811_3;600;782;40
10236V72161_2;600;155;40
34938V72813_2;600;123;40
04211V1677432_1;600;87;40
06750V2429605_1;600;286;40
46684V1842951_1;600;167;40
17961V72812_6;600;2;40
06970V72811_4;600;582;40
46684V1842951_2;600;155;40
04211V1677432_2;600;127;40
10236V72161_1;600;102;40
35002V72811_2;600;344;40
17961V72812_5;600;95;40
81077V72158_1;600;209;40
06970V72811_3;600;437;40
44210V2411509_1;600;300;40
44656V72812_1;600;592;40
88356V72157_6;600;108;40
44656V72812_4;600;99;40
35002V72811_1;600;325;40
78492V2394249_1;600;126;40
81077V72158_2;600;258;40
06970V72811_5;600;598;40
40649V2411511_1;600;231;40
03476V41818_2;600;221;40
06750V2429605_2;600;176;40
75341V41863_2;600;280;40
06970V72811_1;600;165;40
20570V72811_4;600;571;40
17961V72812_3;600;131;40
34938V72813_1;600;147;40
16219V72812_4;600;122;40
20570V72811_3;600;643;40
06970V72811_2;600;220;40
16219V72812_3;660;63;40
81077V72158_3;660;235;40
16219V72812_2;660;582;40
16219V72812_4;660;130;40
81077V72158_1;660;224;40
17961V72812_5;660;110;40
40649V2411511_1;660;254;40
78492V2394249_2;660;198;40
73951V2394243_3;660;947;40
17961V72812_6;660;2;40
81008V41567_1;660;168;40
78492V2394249_3;660;398;40
17961V72812_4;660;112;40
77022V72359_1;660;337;40
17961V72812_3;660;153;40
65625V41945_2;660;245;40
17961V72812_2;660;307;40
73951V2394243_1;660;156;40
78492V2394249_1;660;131;40
81077V72158_2;660;292;40
77022V72359_2;660;341;40
44656V72812_4;660;113;40
44656V72812_2;660;593;40
27372V72852_2;660;231;40
04300V72813_1;660;151;40
04211V1677432_1;660;110;40
06750V2429605_1;660;364;40
06750V2429605_4;660;192;40
06970V72811_4;660;595;40
04211V1677432_2;660;139;40
35002V72811_2;660;360;40
34938V72813_1;660;155;40
04300V72813_3;660;148;40
20570V72811_3;660;723;40
75341V41863_1;660;272;40
88356V72157_1;660;139;40
36935V72359_2;660;151;40
06970V72811_3;660;457;40
10236V72161_3;660;81;40
35002V72811_1;660;367;40
44656V72812_1;660;557;40
34938V72813_2;660;120;40
20570V72811_4;660;557;40
06750V2429605_2;660;197;40
06970V72811_2;660;242;40
10236V72161_1;660;123;40
46684V1842951_1;660;181;40
46684V1842951_2;660;187;40
06970V72811_1;660;168;40
03476V41818_2;660;210;40
44210V2411509_1;660;302;40
35002V72811_3;660;886;40
10236V72161_2;660;191;40
06970V72811_5;660;648;40
16219V72812_1;660;400;40
17961V72812_1;660;58;40
44656V72812_3;660;62;40
88356V72157_2;660;19;40
21801V72158_1;660;323;40
03476V41818_1;660;201;40
75341V41863_2;660;302;40
21571V2394246_3;660;719;40
88356V72157_4;660;11;40
10236V72161_4;660;28;40
81077V72158_4;660;124;40
78492V2394249_4;660;523;40
06750V2429605_3;660;150;40
21571V2394246_1;660;210;40
20570V72811_2;660;527;40
36935V72359_1;660;225;40
21801V72158_2;660;239;40
20570V72811_1;660;372;40
27372V72852_1;660;245;40
88356V72157_6;660;97;40
06970V72811_6;660;455;40
63028V72219_1;660;147;40
46684V1842951_1;720;152;40
21801V72158_1;720;314;40
78492V2394249_2;720;182;40
06750V2429605_4;720;210;40
06750V2429605_3;720;164;40
04300V72813_3;720;154;40
21801V72158_2;720;209;40
81008V41567_1;720;159;40
78492V2394249_1;720;182;40
81077V72158_3;720;236;40
77022V72359_2;720;332;40
44656V72812_4;720;69;40
63028V72219_1;720;159;40
44656V72812_3;720;73;40
78492V2394249_3;720;444;40
21571V2394246_3;720;701;40
81077V72158_4;720;122;40
77022V72359_1;720;311;40
78492V2394249_4;720;444;40
21571V2394246_1;720;150;40
36935V72359_1;720;277;40
44656V72812_2;720;595;40
81077V72158_2;720;335;40
36935V72359_2;720;168;40
06750V2429605_1;720;360;40
35002V72811_2;720;421;40
34938V72813_1;720;123;40
35002V72811_1;720;372;40
44656V72812_1;720;570;40
81077V72158_1;720;210;40
34938V72813_2;720;149;40
06750V2429605_2;720;214;40
46684V1842951_2;720;173;40
04300V72813_1;720;177;40
35002V72811_3;720;806;40
16219V72812_3;720;66;40
04211V1677432_1;720;113;40
17961V72812_5;720;108;40
06970V72811_1;720;211;40
73951V2394243_1;720;127;40
73951V2394243_3;720;961;40
16219V72812_2;720;566;40
88356V72157_1;720;113;40
27372V72852_2;720;211;40
20570V72811_2;720;571;40
88356V72157_2;720;37;40
16219V72812_4;720;125;40
88356V72157_4;720;7;40
27372V72852_1;720;241;40
88356V72157_6;720;125;40
10236V72161_4;720;20;40
16219V72812_1;720;463;40
20570V72811_3;720;707;40
04211V1677432_2;720;114;40
40649V2411511_1;720;393;40
44210V2411509_1;720;225;40
10236V72161_3;720;79;40
10236V72161_1;720;114;40
06970V72811_2;720;291;40
20570V72811_4;720;608;40
10236V72161_2;720;204;40
06970V72811_5;720;590;40
75341V41863_2;720;319;40
17961V72812_4;720;104;40
17961V72812_3;720;114;40
