Detector,Time,qPKW
04211V1677432_1,1400,1
10236V72161_1,1400,1
10236V72161_3,1400,1
16219V72812_2,1400,2
27372V72852_2,1400,1
81077V72158_2,1400,1
10236V72161_1,1410,1
10236V72161_3,1410,1
16219V72812_1,1410,1
16219V72812_2,1410,1
27372V72852_1,1410,2
04300V72813_1,1420,1
04300V72813_3,1420,1
10236V72161_3,1420,1
16219V72812_1,1420,1
10236V72161_4,1430,1
16219V72812_1,1430,2
27372V72852_2,1430,1
81077V72158_3,1430,1
88356V72157_1,1430,1
04300V72813_1,1440,1
10236V72161_4,1440,1
16219V72812_1,1440,1
21801V72158_1,1440,1
27372V72852_1,1440,1
27372V72852_2,1440,1
81077V72158_3,1440,1
10236V72161_1,1450,1
10236V72161_2,1450,1
21801V72158_1,1450,1
81077V72158_2,1450,1
16219V72812_1,1460,1
16219V72812_2,1460,1
21801V72158_1,1460,2
88356V72157_6,1460,1
16219V72812_1,1470,1
21801V72158_1,1470,1
27372V72852_1,1470,1
04300V72813_1,1480,1
10236V72161_2,1480,1
10236V72161_4,1480,1
21801V72158_1,1480,1
27372V72852_1,1480,1
16219V72812_1,1490,2
16219V72812_2,1490,1
27372V72852_1,1490,2
81077V72158_3,1490,1
10236V72161_3,1500,1
16219V72812_1,1500,2
21801V72158_2,1500,1
10236V72161_1,1510,1
10236V72161_2,1510,1
16219V72812_2,1510,1
16219V72812_4,1510,1
27372V72852_2,1510,1
81077V72158_2,1510,1
04300V72813_1,1520,1
10236V72161_2,1520,2
16219V72812_2,1520,1
21801V72158_1,1520,1
27372V72852_2,1520,1
81077V72158_1,1520,1
10236V72161_1,1530,1
10236V72161_2,1530,1
10236V72161_4,1530,1
27372V72852_2,1530,2
04300V72813_3,1540,1
10236V72161_2,1540,1
10236V72161_3,1540,1
16219V72812_1,1540,1
16219V72812_3,1540,1
21801V72158_1,1540,2
04300V72813_1,1550,1
10236V72161_1,1550,1
10236V72161_4,1550,1
16219V72812_1,1550,1
21801V72158_1,1550,2
04300V72813_3,1560,1
16219V72812_1,1560,1
16219V72812_2,1560,1
16219V72812_4,1560,1
21801V72158_1,1560,3
27372V72852_1,1560,1
27372V72852_2,1560,1
81077V72158_2,1560,1
88356V72157_1,1560,1
88356V72157_6,1560,1
16219V72812_2,1570,2
10236V72161_1,1580,1
10236V72161_4,1580,1
16219V72812_1,1580,2
16219V72812_2,1580,1
16219V72812_4,1580,1
27372V72852_1,1580,1
04211V1677432_2,1590,1
04300V72813_1,1590,1
10236V72161_2,1590,1
10236V72161_3,1590,1
16219V72812_1,1590,2
16219V72812_2,1590,2
10236V72161_2,1600,1
16219V72812_1,1600,1
16219V72812_2,1600,1
16219V72812_4,1600,1
27372V72852_2,1600,1
81077V72158_3,1600,1
81077V72158_2,1610,1
04300V72813_1,1620,1
04300V72813_3,1620,1
10236V72161_1,1620,1
16219V72812_1,1620,1
16219V72812_2,1620,1
27372V72852_1,1620,1
27372V72852_2,1620,1
88356V72157_1,1620,1
16219V72812_1,1630,1
21801V72158_2,1630,1
27372V72852_2,1630,1
04300V72813_3,1640,1
10236V72161_4,1640,1
16219V72812_1,1640,1
21801V72158_1,1640,1
10236V72161_1,1650,1
16219V72812_1,1650,1
04211V1677432_1,1660,1
04300V72813_1,1660,1
16219V72812_1,1660,2
21801V72158_1,1660,2
27372V72852_1,1670,1
81077V72158_1,1670,1
81077V72158_2,1670,1
88356V72157_6,1670,1
16219V72812_1,1680,1
27372V72852_1,1680,1
81077V72158_3,1680,1
21801V72158_1,1690,1
88356V72157_1,1690,1
04300V72813_3,1700,1
10236V72161_2,1700,1
10236V72161_3,1700,1
27372V72852_1,1700,1
88356V72157_1,1700,1
04300V72813_1,1710,1
04300V72813_3,1710,1
10236V72161_1,1710,1
10236V72161_3,1710,1
04300V72813_3,1720,1
10236V72161_4,1720,1
16219V72812_1,1720,1
21801V72158_1,1720,1
81077V72158_2,1720,1
04300V72813_1,1730,1
04300V72813_3,1730,2
10236V72161_1,1730,1
16219V72812_2,1730,2
27372V72852_2,1730,1
04300V72813_3,1740,2
10236V72161_2,1740,1
16219V72812_1,1740,1
16219V72812_2,1740,2
21801V72158_1,1740,1
04300V72813_3,1750,1
16219V72812_1,1750,1
21801V72158_1,1750,1
88356V72157_6,1750,1
