Detector;Time;qPKW;vPKW
10236V72161_2;840;238;40
10236V72161_4;840;47;40
88356V72157_6;840;132;40
88356V72157_4;840;19;40
81077V72158_1;840;277;40
16219V72812_4;840;113;40
21801V72158_2;840;284;40
16219V72812_3;840;54;40
16219V72812_2;840;593;40
88356V72157_2;840;36;40
88356V72157_1;840;137;40
04211V1677432_2;900;179;40
21801V72158_1;900;414;40
04300V72813_3;900;262;40
10236V72161_2;900;232;40
10236V72161_1;900;188;40
88356V72157_6;900;132;40
88356V72157_1;900;165;40
27372V72852_2;900;316;40
16219V72812_1;900;623;40
88356V72157_2;900;22;40
04300V72813_1;900;232;40
88356V72157_4;900;10;40
16219V72812_3;900;60;40
10236V72161_3;900;120;40
21801V72158_2;900;250;40
04211V1677432_1;900;171;40
81077V72158_1;900;259;40
81077V72158_3;900;296;40
27372V72852_1;900;397;40
16219V72812_2;900;563;40
16219V72812_4;900;125;40
81077V72158_2;900;510;40
81077V72158_4;900;119;40
10236V72161_4;900;49;40
27372V72852_1;960;334;40
88356V72157_4;960;4;40
04211V1677432_2;960;157;40
04300V72813_1;960;230;40
81077V72158_4;960;115;40
16219V72812_2;960;441;40
88356V72157_2;960;27;40
16219V72812_3;960;54;40
10236V72161_4;960;41;40
04211V1677432_1;960;167;40
81077V72158_2;960;482;40
21801V72158_2;960;208;40
27372V72852_2;960;231;40
21801V72158_1;960;299;40
10236V72161_3;960;120;40
16219V72812_4;960;96;40
88356V72157_1;960;107;40
88356V72157_6;960;114;40
81077V72158_3;960;277;40
10236V72161_2;960;192;40
04300V72813_3;960;242;40
16219V72812_1;960;508;40
10236V72161_1;960;163;40
81077V72158_1;960;263;40
10236V72161_4;1020;52;40
88356V72157_1;1020;87;40
04211V1677432_2;1020;154;40
88356V72157_2;1020;15;40
21801V72158_2;1020;217;40
81077V72158_3;1020;248;40
21801V72158_1;1020;277;40
04300V72813_3;1020;230;40
16219V72812_1;1020;481;40
16219V72812_3;1020;41;40
